Area,No. of Bedrooms,Location,Hospital,MaintenanceStaff,Gymnasium,CarParking,SwimmingPool,Landscaped Gardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,Price
1065,2,Electronic City Phase 1,very far,1,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,5958000
1065,2,Electronic City Phase 1,very far,,1,yes,1,1,1,1,1,1,1,0,1,1,0,1,1,5958000
1273,2,Yelahanka,far,,1,yes,1,1,1,1,1,0,0,0,0,1,0,1,1,6900000
null,3,Yelahanka,far,0,1,yes,1,1,1,1,1,0,0,0,0,1,0,1,1,9700000
1304,2,Yelahanka,,0,1,yes,1,1,1,1,1,0,0,0,0,1,0,1,1,7300000
1700,3,Anjanapura,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,9180000
1277,2,Carmelaram,far,0,1,no,1,1,1,1,1,0,1,0,0,1,0,1,1,6986000
1111,2,Carmelaram,very far,0,1,no,1,1,1,1,1,0,1,0,0,1,,1,1,6081000
1443,3,Carmelaram,far,0,1,no,1,1,1,1,1,0,1,0,0,1,0,1,1,7891000
1109,2,Carmelaram,very far,0,1,no,1,1,1,1,1,0,1,0,0,1,0,1,1,6070000
1089,2,Carmelaram,very far,0,1,no,1,1,1,1,1,0,1,0,0,1,0,1,1,5961000
1544,3,Carmelaram,far,0,1,no,1,1,1,1,1,0,1,0,0,,0,1,,8442000
1647,3,Carmelaram,far,0,,no,1,1,1,1,1,0,1,0,0,1,0,1,1,9003000
1082,2,Carmelaram,very far,0,1,no,1,1,1,1,1,0,1,0,0,1,0,1,1,5923000
1128,2,Carmelaram,very far,0,1,no,1,1,1,1,1,0,1,0,0,1,0,1,1,6174000
1095,2,Carmelaram,very far,0,1,no,1,1,1,1,1,0,1,0,0,1,0,1,1,5994000
1496,3,Carmelaram,far,0,1,no,1,1,1,1,1,0,1,0,0,1,0,1,1,
1401,3,Carmelaram,very far,0,1,no,1,1,1,1,1,0,1,0,0,1,0,,1,7662000
1538,,Horamavu,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,8763000
null,3,Horamavu,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,8957000
1181,2,Horamavu,very far,0,1,,1,1,1,1,1,0,1,1,0,1,0,1,1,6581000
1687,3,Horamavu,far,,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,9640000
1196,2,Horamavu,very far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,6664000
1190,2,Horamavu,very far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,6631000
1766,3,Horamavu,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,10000000
1730,3,Horamavu,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,9879000
1532,3,Horamavu,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,,8529000
1305,2,Jalahalli,far,0,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,7252000
1645,3,Jalahalli,far,0,,no,1,1,0,1,1,1,0,0,0,0,1,1,0,9037000
1315,2,Jalahalli,,0,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,7298000
1950,3,Jalahalli,nearby,0,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,10400000
1750,3,Jalahalli,far,0,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,9520000
null,2,Jalahalli,far,0,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,7229000
1830,3,Jalahalli,far,0,,no,1,1,0,1,1,1,0,0,0,0,1,1,0,9887000
1935,3,Jalahalli,nearby,0,1,no,1,1,0,1,1,1,0,0,0,0,,1,0,10300000
1285,2,Jalahalli,far,0,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,7159999
2010,3,Jalahalli,nearby,0,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,10700000
1615,3,Jalahalli,,0,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,8900000
1720,3,Jalahalli,far,0,1,no,1,1,0,1,1,1,0,0,0,,1,1,0,9382000
1325,2,Jalahalli,far,,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,7344000
1270,2,Jalahalli,far,,1,no,1,1,0,1,1,1,0,0,0,0,1,1,0,7091000
1320,3,Kasavanahalli,far,0,1,,1,0,0,0,1,0,0,0,0,1,0,0,1,6279000
1100,2,Kasavanahalli,very far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,5306000
1405,3,Kasavanahalli,far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,
1075,2,Kasavanahalli,very far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,5195000
1140,2,Kasavanahalli,very far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,5483000
1150,2,Kasavanahalli,very far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,5527000
1350,3,Kasavanahalli,far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,6412000
1265,3,Kasavanahalli,far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,6036000
1015,2,Kasavanahalli,very far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,4930000
1395,3,Kasavanahalli,far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,,1,6611000
null,2,Kasavanahalli,very far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,5173000
1270,3,Kasavanahalli,far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,6058000
1320,3,Kasavanahalli,very far,,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,,6279000
1050,2,Kasavanahalli,far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,5085000
1355,3,Kasavanahalli,far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,6434000
1090,2,Kasavanahalli,far,0,1,yes,1,0,0,0,1,0,0,0,0,1,0,0,1,5262000
1485,,Whitefield Hope Farm Junction,far,0,,no,1,1,1,1,0,0,1,0,0,0,0,0,1,6681999
1450,3,Whitefield Hope Farm Junction,far,0,1,no,1,1,1,1,0,0,1,0,0,,0,0,1,
1555,3,Whitefield Hope Farm Junction,far,0,1,no,1,1,1,1,0,0,1,0,0,0,0,0,1,6997000
1355,3,Whitefield Hope Farm Junction,far,0,1,no,1,1,1,1,0,0,1,0,0,0,0,0,1,6097000
1360,3,Whitefield Hope Farm Junction,far,0,1,no,1,1,1,1,0,0,1,0,0,0,,0,1,6120000
1365,3,Whitefield Hope Farm Junction,very far,,1,,1,1,1,1,0,0,1,0,0,0,0,0,1,6142000
1495,3,Whitefield Hope Farm Junction,,0,1,no,1,1,1,1,0,0,1,0,0,0,0,0,1,6727000
1395,3,Whitefield Hope Farm Junction,very far,0,1,no,1,1,1,1,,,,0,0,0,0,0,1,6277000
1500,3,Whitefield Hope Farm Junction,very far,0,1,no,,1,1,1,0,0,1,,0,0,0,0,1,6750000
1435,3,Whitefield Hope Farm Junction,very far,0,1,no,1,,1,1,0,0,1,0,0,0,0,0,1,6456999
1310,3,Bommasandra,very far,0,,yes,1,1,1,1,1,0,0,0,0,0,0,1,1,5240000
1030,2,Bommasandra,very far,0,1,yes,1,1,,1,1,0,0,0,,,0,1,1,4120000
1275,3,Bellandur,far,0,1,yes,1,1,1,1,1,0,1,0,0,1,0,1,1,7012000
1490,3,Bellandur,far,0,1,yes,1,1,1,1,1,0,1,0,0,1,0,1,1,
1706,3,RR Nagar,far,0,1,yes,1,1,1,1,0,0,0,0,1,1,0,0,1,8050000
1258,2,RR Nagar,very far,0,1,yes,,1,1,,0,0,0,0,1,1,0,0,1,5900000
1723,3,RR Nagar,far,0,1,yes,1,1,1,1,0,0,0,0,1,1,0,0,1,8100000
1369,2,RR Nagar,very far,0,1,yes,1,1,1,1,0,0,0,0,1,1,0,0,1,6400000
null,2,RR Nagar,very far,0,1,yes,1,1,1,1,0,0,0,0,1,1,0,0,1,6275000
2000,3,Whitefield Hope Farm Junction,nearby,0,1,no,1,1,1,0,0,0,1,0,0,1,0,1,1,14400000
1900,3,Whitefield Hope Farm Junction,far,0,1,no,1,1,1,0,0,0,,,0,1,0,1,1,13700000
1560,3,Whitefield Hope Farm Junction,nearby,0,1,no,1,1,1,0,0,0,1,0,0,1,0,1,1,11399999
1097,2,Begur,very far,0,1,no,1,,1,1,1,0,1,1,0,1,0,1,1,4500000
1310,3,Bommasandra,very far,,1,yes,,1,,,1,,0,0,0,0,0,1,1,5240000
1030,2,Bommasandra,very far,0,1,yes,1,1,1,1,1,0,0,0,,0,0,1,1,4120000
3300,4,JP Nagar Phase 1,nearby,1,1,no,1,1,1,1,1,0,1,1,0,1,0,1,1,29600000
1216,2,Varthur,nearby,0,1,,1,1,1,1,1,1,0,0,0,1,1,1,,8954000
1195,2,Varthur,nearby,0,1,yes,1,1,1,1,,1,0,0,0,1,1,1,1,8800000
2321,3,Varthur,nearby,0,1,yes,1,1,1,1,1,1,0,0,0,1,1,1,1,15400000
1655,3,Varthur,nearby,0,1,yes,1,1,1,1,1,1,0,0,0,1,,,1,11000000
2172,,Kannur on Thanisandra Main Road,,0,1,yes,1,1,1,1,1,0,1,0,0,1,0,1,1,9122000
1505,3,Uttarahalli,very far,0,1,no,1,,1,0,,0,1,0,0,0,0,0,1,
1002,2,Uttarahalli,very far,0,1,no,1,1,1,0,0,,1,0,0,0,0,0,1,3507000
null,3,Uttarahalli,far,0,1,no,1,1,1,0,0,0,1,0,0,0,0,0,1,4816000
1232,2,Uttarahalli,very far,0,1,no,,1,1,,0,0,1,0,0,0,0,0,1,4312000
1513,3,Uttarahalli,far,0,1,no,1,1,1,0,0,0,,,0,0,0,0,1,5295000
1056,2,Uttarahalli,very far,0,,no,1,1,1,0,0,0,1,0,0,0,0,0,1,3696000
1183,2,Uttarahalli,very far,0,1,no,1,1,1,0,0,0,1,0,0,0,0,0,1,4140000
1095,2,Uttarahalli,very far,0,1,no,1,1,1,0,0,0,1,0,0,0,0,0,1,3832000
965,2,Uttarahalli,nearby,0,1,no,1,1,,0,0,0,1,0,,0,0,0,1,3377000
1303,3,Uttarahalli,very far,0,1,no,1,1,1,0,0,0,1,0,0,0,0,0,1,
1433,3,Uttarahalli,far,,1,no,1,1,1,0,0,0,1,0,0,,0,0,1,5015000
1077,2,Uttarahalli,very far,0,1,no,1,1,1,0,,0,1,,0,0,0,0,1,3769000
985,2,Uttarahalli,very far,0,1,no,1,1,1,0,0,0,1,0,0,0,0,0,1,3447000
1416,3,Uttarahalli,very far,0,1,no,1,,1,0,0,0,1,0,0,0,0,0,1,4956000
null,3,Uttarahalli,very far,0,1,no,1,1,1,0,0,0,1,0,0,0,0,0,1,5323000
1130,2,Uttarahalli,very far,0,1,no,1,1,1,,0,,1,0,0,0,0,0,1,3954999
977,2,Uttarahalli,nearby,0,1,no,1,1,1,0,0,0,1,0,0,0,0,0,1,3419000
1529,3,Uttarahalli,very far,0,1,no,1,1,1,0,0,0,1,0,,0,0,0,1,5351000
1267,3,Uttarahalli,very far,0,,no,1,1,1,0,0,0,1,,0,0,0,0,1,4434000
1866,3,Anagalapura Near Hennur Main Road,far,0,1,yes,,1,1,1,1,0,,1,0,1,0,1,1,7837000
2235,3,Anagalapura Near Hennur Main Road,,0,1,yes,1,1,,1,,0,1,1,0,1,0,1,1,9834000
1976,3,Anagalapura Near Hennur Main Road,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,8298999
2182,3,Anagalapura Near Hennur Main Road,far,0,1,,1,1,1,1,1,0,1,1,0,1,0,1,1,8728000
1725,3,Hosa Road,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,9453000
1795,2,Sahakar Nagar,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,15000000
1000,1,Sahakar Nagar,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,,1,1,8900000
1740,2,Sahakar Nagar,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,,1,,
1490,2,Sahakar Nagar,far,0,1,yes,1,1,1,,1,0,1,1,0,1,0,1,1,12700000
1320,3,Sahakar Nagar,far,0,1,yes,1,,1,1,1,0,,1,,1,0,1,1,12500000
2330,4,Sahakar Nagar,nearby,0,1,yes,1,1,1,1,1,,1,,0,1,0,1,1,20099999
2165,3,Sahakar Nagar,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,,18800000
1645,2,Sahakar Nagar,nearby,,1,yes,,1,,1,1,0,1,1,0,1,0,,1,13700000
1985,3,Sahakar Nagar,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,18900000
null,3,Avalahalli Off Sarjapur Road,far,1,1,yes,1,1,1,0,,1,1,1,1,1,0,1,1,8500000
2225,3,Sarjapur Road Wipro To Railway Crossing,nearby,0,1,yes,1,0,1,0,0,0,1,1,0,1,0,1,1,12000000
1541,3,Hosa Road,far,0,1,no,1,0,1,0,0,0,1,1,0,1,0,1,1,9000000
1515,3,Varthur,nearby,0,1,no,1,0,0,,0,0,1,1,0,1,0,0,1,9300000
1690,3,Uttarahalli,nearby,0,1,no,1,1,1,1,1,0,1,1,0,1,0,1,1,11000000
2225,3,Sarjapur Road Wipro To Railway Crossing,nearby,0,1,yes,1,0,1,0,0,0,1,0,0,1,0,1,1,12000000
1770,3,Bilekahalli,nearby,0,1,yes,1,,1,1,1,0,1,1,0,1,0,1,1,
3012,4,Bilekahalli,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,,0,1,1,29300000
2370,3,Bilekahalli,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,22799999
700,1,R T  Nagar,,0,0,no,0,0,0,0,0,0,0,,0,0,0,0,0,3200000
700,1,R T  Nagar,very far,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,3200000
1335,2,JP Nagar Phase 7,far,0,1,no,0,0,0,0,0,0,1,0,0,1,0,0,1,11000000
1690,3,Subramanyapura,nearby,0,1,no,,0,0,0,0,0,,1,0,1,0,0,1,9800000
4282,4,JP Nagar Phase 4,nearby,0,1,yes,1,1,1,1,1,0,1,0,,1,0,1,1,42500000
1500,3,Sahakar Nagar,nearby,1,1,yes,1,0,1,1,1,0,1,1,0,1,0,1,1,13500000
1880,3,JP Nagar Phase 7,nearby,0,1,no,0,0,0,0,0,0,1,0,0,1,0,0,1,15600000
1985,3,Sahakar Nagar,nearby,,1,,1,1,1,1,1,0,1,0,0,1,0,1,1,18900000
1795,2,Sahakar Nagar,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,15400000
null,,Sahakar Nagar,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,12300000
1042,2,JP Nagar Phase 8,far,0,1,yes,1,1,1,1,1,0,0,1,0,1,,1,1,6845999
1408,3,JP Nagar Phase 8,far,0,1,yes,1,1,1,1,1,0,0,1,0,1,0,1,1,9173000
1455,3,JP Nagar Phase 8,far,0,1,yes,1,1,1,1,1,0,0,1,0,1,0,1,1,9471000
1105,2,JP Nagar Phase 8,far,0,1,yes,1,1,1,1,1,0,0,1,0,1,0,1,1,7247000
1120,2,Amruthahalli,very far,0,0,no,0,0,0,0,0,0,1,0,0,,0,0,1,5599000
1345,1,Sahakar Nagar,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,11800000
1107,2,Horamavu,very far,0,1,no,0,0,0,1,0,0,1,0,0,0,0,1,1,4815000
1122,2,Horamavu,very far,0,1,no,0,0,0,1,0,0,1,0,0,0,0,1,,4880000
1161,2,Horamavu,very far,0,,no,0,0,0,1,0,0,1,0,0,0,0,1,1,
1062,2,Horamavu,very far,0,1,no,0,0,0,1,0,0,1,0,0,0,0,1,1,4619000
1100,2,Horamavu,very far,0,1,no,0,0,0,1,0,0,1,0,0,0,0,1,1,4785000
1143,2,Horamavu,very far,0,1,no,0,0,0,1,0,0,1,0,0,0,0,1,1,4972000
1089,2,Horamavu,very far,0,1,no,0,0,0,1,0,0,1,0,0,0,0,,1,4737000
1116,2,Horamavu,very far,0,1,no,0,0,0,1,0,0,1,0,0,0,0,1,1,4854000
3033,4,Banashankari,,0,1,yes,1,1,1,1,1,0,,1,0,1,0,1,1,28300000
2378,3,Banashankari,nearby,0,1,yes,,1,1,1,1,0,1,1,0,1,0,1,1,21400000
2522,3,Banashankari,nearby,0,1,yes,1,,1,,1,0,1,1,,1,0,1,1,
3205,4,Banashankari,nearby,0,1,yes,1,1,1,1,1,0,1,,0,1,0,1,1,29900000
1376,2,RR Nagar,far,,1,yes,1,1,1,1,,0,1,1,0,,0,1,1,9200000
null,2,RR Nagar,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,8000000
1373,2,RR Nagar,nearby,0,1,,1,1,1,1,1,0,1,1,0,1,0,1,1,9200000
1168,2,RR Nagar,far,0,1,yes,1,1,,1,1,0,1,1,0,1,0,1,1,8000000
1168,2,RR Nagar,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,8000000
1376,2,RR Nagar,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,9300000
1168,2,RR Nagar,far,0,1,yes,1,1,1,1,,0,1,,0,1,,1,1,7900000
1376,2,RR Nagar,nearby,0,1,yes,1,1,1,1,1,0,,1,0,1,0,1,1,9200000
1373,2,RR Nagar,nearby,0,1,yes,,1,1,1,1,0,1,1,0,1,0,1,1,9100000
1373,2,RR Nagar,far,0,1,yes,1,1,,1,1,0,1,0,0,1,0,1,1,9000000
1168,2,RR Nagar,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,7900000
1160,2,RR Nagar,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,7900000
1168,2,RR Nagar,far,0,1,yes,1,1,1,,1,0,1,1,0,1,0,1,1,8000000
1160,2,RR Nagar,far,0,1,yes,1,1,1,1,1,0,1,,0,1,0,1,1,
1373,2,RR Nagar,nearby,0,1,yes,1,,1,1,1,,1,1,,1,0,1,1,9200000
1376,2,RR Nagar,nearby,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,9100000
1373,2,RR Nagar,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,9100000
1373,2,RR Nagar,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,9000000
1168,2,RR Nagar,far,,1,yes,1,1,1,1,1,0,1,1,0,1,0,,1,7900000
1373,2,RR Nagar,far,0,1,yes,1,1,1,1,1,0,1,1,0,1,0,1,1,8800000
1140,3,Kengeri,very far,0,1,yes,1,1,0,0,0,0,1,0,0,0,0,0,1,3990000
1149,3,Kengeri,very far,0,1,yes,1,1,0,0,0,0,1,0,0,0,0,0,1,4021000
1168,3,Kengeri,very far,0,1,yes,1,1,0,0,0,0,1,0,0,0,0,0,1,4088000
1275,2,Begur,,0,0,no,0,0,0,1,0,0,1,0,0,0,0,1,0,9060000
1210,2,Begur,nearby,0,0,no,0,0,0,1,0,0,1,0,0,0,0,1,0,8644000
1240,2,Begur,far,0,0,no,0,0,0,1,0,0,1,0,0,0,0,1,0,
1450,,Begur,nearby,0,0,no,0,0,0,1,0,0,1,0,0,0,0,1,0,10200000
1192,2,Begur,far,0,0,no,0,0,0,1,0,0,1,0,0,0,0,1,0,8528000
1190,2,Begur,far,0,0,no,0,0,0,1,0,0,1,0,0,0,0,1,0,8516000
1235,2,Begur,far,0,0,no,0,0,0,1,0,0,1,0,0,0,0,1,0,8804000
1400,3,Begur,far,0,0,no,0,0,0,1,0,0,1,0,0,,0,1,0,9910000
1606,3,Ramamurthy Nagar,very far,0,1,,0,0,0,1,0,0,1,0,0,0,,1,1,7634000
1239,2,Ramamurthy Nagar,very far,0,,no,,0,0,1,,0,1,0,0,0,0,1,1,5970000
1615,3,Ramamurthy Nagar,far,0,1,no,0,,,1,0,0,,0,0,0,0,1,1,7675000
1180,2,Ramamurthy Nagar,very far,0,1,no,0,0,0,1,0,,1,0,,0,0,1,1,5702000
null,2,Ramamurthy Nagar,far,0,1,no,0,0,0,1,0,0,1,0,0,0,0,1,1,6210000
900,2,Attibele,very far,,1,no,1,0,1,0,1,0,1,1,0,,0,1,1,2520000
1180,3,Attibele,very far,0,1,no,1,0,1,,1,0,1,1,0,1,0,1,,3304000
1075,3,Attibele,very far,0,1,no,1,0,1,0,1,0,1,,0,1,0,1,1,3010000
1000,2,Attibele,very far,0,1,no,1,0,1,0,1,0,1,1,0,1,0,1,1,2800000
880,,Attibele,very far,0,1,no,1,0,1,0,1,0,1,1,0,1,0,1,1,2464000
1185,2,Kadugodi,very far,0,1,no,1,1,1,0,1,,1,0,0,0,0,1,1,5557000
2540,3,Kadugodi,nearby,0,1,no,1,,,0,,0,1,0,0,0,0,1,1,11900000
1650,3,Kadugodi,nearby,0,1,no,1,1,1,0,1,0,1,0,,0,0,1,1,7738000
1355,2,Kadugodi,very far,0,1,no,,1,1,,1,0,1,0,0,0,0,1,1,
600,1,Kadugodi,very far,0,1,no,1,1,1,0,1,0,1,0,0,0,0,,1,2814000
1165,2,Kadugodi,very far,0,1,no,1,1,1,0,1,0,1,0,0,0,0,1,1,5463000
